bodyId,type,instance,somaSide
167589,T5d,T5d_R,R
167605,T4b,T4b_L,L
167624,T5c,T5c_R,R
167659,T5a,T5a_L,L
167676,T4c,T4c_L,L
167864,T5c,T5c_L,L
167896,T5d,T5d_R,R
167906,T5d,T5d_R,R
168002,T5d,T5d_L,L
168114,T4a,T4a_L,L
168115,T5c,T5c_R,R
168159,T4b,T4b_L,L
168200,T4c,T4c_L,L
168227,T4b,T4b_R,R
168302,T5c,T5c_L,L
168340,T4c,T4c_L,L
168396,T5c,T5c_L,L
168413,T4a,T4a_L,L
168491,T4c,T4c_L,L
168546,T5d,T5d_L,L
168553,T5d,T5d_L,L
168723,T5a,T5a_L,L
168726,T5d,T5d_L,L
168871,T5d,T5d_L,L
168937,T4b,T4b_L,L
168944,T5c,T5c_R,R
168966,T4c,T4c_R,R
169025,T4b,T4b_L,L
169038,T4a,T4a_L,L
169093,T4c,T4c_L,L
169114,T5a,T5a_R,R
169125,T4b,T4b_L,L
169132,T5b,T5b_R,R
169172,T4d,T4d_L,L
169274,T4c,T4c_L,L
169320,T4d,T4d_L,L
169396,T5c,T5c_L,L
169418,T4b,T4b_L,L
169511,T5c,T5c_L,L
169534,T5a,T5a_L,L
169544,T5c,T5c_L,L
169548,T4b,T4b_L,L
169581,T5c,T5c_L,L
169621,T5d,T5d_L,L
169710,T5d,T5d_L,L
169842,T5a,T5a_R,R
169849,T4b,T4b_L,L
169852,T5c,T5c_L,L
169957,T4b,T4b_L,L
170007,T5c,T5c_R,R
170023,T5a,T5a_L,L
170024,T4b,T4b_L,L
170060,T4d,T4d_L,L
170071,T5a,T5a_L,L
170081,T5b,T5b_R,R
170148,T4c,T4c_L,L
170285,T5c,T5c_L,L
170286,T4b,T4b_L,L
170298,T4b,T4b_L,L
170346,T5c,T5c_L,L
170360,T4d,T4d_L,L
170376,T5c,T5c_L,L
170383,T5c,T5c_L,L
170490,T5c,T5c_L,L
170507,T5b,T5b_R,R
170515,T4b,T4b_L,L
170553,T4c,T4c_R,R
170595,T5b,T5b_L,L
170601,T4c,T4c_R,R
170812,T4d,T4d_L,L
170912,T5a,T5a_L,L
170915,T4d,T4d_L,L
170923,T5b,T5b_L,L
170934,T4b,T4b_L,L
170962,T4a,T4a_L,L
170987,T4a,T4a_L,L
171016,T4d,T4d_L,L
171052,T4c,T4c_L,L
171245,T4d,T4d_L,L
171276,T5b,T5b_L,L
171284,T5b,T5b_L,L
171291,T4b,T4b_L,L
171310,T5a,T5a_L,L
171312,T4b,T4b_L,L
171406,T5d,T5d_R,R
171442,T4a,T4a_L,L
171497,T5a,T5a_L,L
171500,T4b,T4b_L,L
171506,T4c,T4c_R,R
171533,T5c,T5c_L,L
171536,T4a,T4a_L,L
171567,T5a,T5a_L,L
171633,T5d,T5d_L,L
171719,T4b,T4b_L,L
171731,T4d,T4d_L,L
171737,T4d,T4d_L,L
171784,T4d,T4d_L,L
171822,T5d,T5d_L,L
171829,T5c,T5c_L,L
171834,T4c,T4c_R,R
171871,T4c,T4c_L,L
171998,T5c,T5c_L,L
172002,T5a,T5a_L,L
172004,T4d,T4d_L,L
172053,T4b,T4b_R,R
172056,T5c,T5c_L,L
172111,T4c,T4c_L,L
172125,T5b,T5b_R,R
172195,T4a,T4a_L,L
172229,T4a,T4a_L,L
172328,T5d,T5d_L,L
172333,T4b,T4b_L,L
172350,T4c,T4c_L,L
172353,T4a,T4a_R,R
172377,T5b,T5b_R,R
172416,T5d,T5d_L,L
172475,T5c,T5c_R,R
172484,T5d,T5d_L,L
172551,T5a,T5a_L,L
172559,T4c,T4c_L,L
172564,T5b,T5b_L,L
172633,T5a,T5a_L,L
172646,T4c,T4c_L,L
172687,T4a,T4a_L,L
172690,T5a,T5a_L,L
172714,T4c,T4c_L,L
172994,T5c,T5c_L,L
173000,T4c,T4c_L,L
173066,T4a,T4a_L,L
173192,T5b,T5b_R,R
173305,T5d,T5d_L,L
173321,T5b,T5b_L,L
173397,T4c,T4c_L,L
173496,T4a,T4a_L,L
173695,T4c,T4c_L,L
173698,T5d,T5d_R,R
173720,T5d,T5d_L,L
173772,T5d,T5d_L,L
173796,T5c,T5c_L,L
173855,T4d,T4d_L,L
173860,T5b,T5b_L,L
174033,T4d,T4d_L,L
174079,T5b,T5b_R,R
174086,T4c,T4c_L,L
174107,T4c,T4c_L,L
174164,T4d,T4d_L,L
174221,T5c,T5c_L,L
174356,T4a,T4a_L,L
174368,T4c,T4c_L,L
174386,T5d,T5d_L,L
174402,T4d,T4d_L,L
174425,T5b,T5b_L,L
174434,T5b,T5b_L,L
174454,T4c,T4c_L,L
174476,T4d,T4d_L,L
174501,T5d,T5d_L,L
174704,T5d,T5d_R,R
174866,T4c,T4c_L,L
174907,T5c,T5c_L,L
174932,T5d,T5d_L,L
174973,T5b,T5b_L,L
174976,T5c,T5c_R,R
175244,T5a,T5a_R,R
175283,T4a,T4a_L,L
175285,T4a,T4a_L,L
175288,T5b,T5b_L,L
175326,T4a,T4a_L,L
175472,T5c,T5c_L,L
175574,T4c,T4c_L,L
175660,T5b,T5b_R,R
175667,T5b,T5b_R,R
176012,T5c,T5c_R,R
176037,T5b,T5b_L,L
176081,T4c,T4c_L,L
176100,T5c,T5c_L,L
176125,T4b,T4b_L,L
176128,T5b,T5b_L,L
176144,T5b,T5b_L,L
176146,T5b,T5b_R,R
176160,T4d,T4d_L,L
176230,T5d,T5d_L,L
176280,T4a,T4a_L,L
176330,T4d,T4d_L,L
176461,T4b,T4b_L,L
176579,T4a,T4a_L,L
176622,T4d,T4d_R,R
176711,T4b,T4b_L,L
176724,T4c,T4c_R,R
176787,T5b,T5b_L,L
176809,T4b,T4b_L,L
177017,T5c,T5c_L,L
177026,T5d,T5d_L,L
177192,T5b,T5b_L,L
177347,T5c,T5c_L,L
177358,T5b,T5b_L,L
177360,T5a,T5a_R,R
177497,T4b,T4b_L,L
177636,T5d,T5d_L,L
177707,T5d,T5d_L,L
177723,T4b,T4b_L,L
177789,T4d,T4d_L,L
177844,T5b,T5b_R,R
178005,T4d,T4d_L,L
178061,T5c,T5c_L,L
178100,T5c,T5c_L,L
178137,T5b,T5b_L,L
178161,T5a,T5a_L,L
178198,T4b,T4b_L,L
178508,T5c,T5c_L,L
178684,T4c,T4c_L,L
178896,T4b,T4b_L,L
178922,T5d,T5d_R,R
179055,T5b,T5b_L,L
179107,T4a,T4a_R,R
179164,T4a,T4a_L,L
179222,T4c,T4c_L,L
179283,T4a,T4a_R,R
179286,T5c,T5c_L,L
179342,T5b,T5b_L,L
179392,T5d,T5d_R,R
179424,T5a,T5a_L,L
179499,T4d,T4d_L,L
179563,T5b,T5b_L,L
179645,T4b,T4b_L,L
179663,T4d,T4d_L,L
179772,T5a,T5a_L,L
179781,T5d,T5d_L,L
179793,T4b,T4b_L,L
179852,T5b,T5b_L,L
180145,T5b,T5b_L,L
180198,T5a,T5a_L,L
180251,T4b,T4b_L,L
180276,T5d,T5d_L,L
180358,T5b,T5b_L,L
180383,T4d,T4d_L,L
180517,T5c,T5c_L,L
180567,T4d,T4d_L,L
180602,T5a,T5a_L,L
180832,T4d,T4d_L,L
180844,T5c,T5c_L,L
180924,T5d,T5d_L,L
180988,T4d,T4d_L,L
180992,T5a,T5a_L,L
181081,T5b,T5b_L,L
181196,T5b,T5b_L,L
181256,T5d,T5d_L,L
181288,T5b,T5b_L,L
181317,T5b,T5b_L,L
181320,T4d,T4d_L,L
181343,T5d,T5d_L,L
181461,T5c,T5c_L,L
181579,T5c,T5c_L,L
181615,T5d,T5d_L,L
181660,T5c,T5c_L,L
181677,T5c,T5c_R,R
181830,T4c,T4c_L,L
181879,T5c,T5c_L,L
181922,T4d,T4d_L,L
181964,T4d,T4d_L,L
182035,T4d,T4d_L,L
182047,T5d,T5d_L,L
182112,T4c,T4c_R,R
182188,T5c,T5c_L,L
182201,T5a,T5a_L,L
182256,T4c,T4c_L,L
182265,T4a,T4a_L,L
182472,T4d,T4d_L,L
182491,T4c,T4c_L,L
182512,T4d,T4d_L,L
182586,T4c,T4c_R,R
182587,T5a,T5a_L,L
182634,T5b,T5b_R,R
182664,T5d,T5d_L,L
182732,T4a,T4a_L,L
182815,T5d,T5d_L,L
182842,T5c,T5c_L,L
182866,T4d,T4d_L,L
182999,T5c,T5c_L,L
183154,T5a,T5a_L,L
183340,T4b,T4b_L,L
183352,T4a,T4a_L,L
183676,T5a,T5a_L,L
183721,T5d,T5d_L,L
183743,T5d,T5d_L,L
183751,T5c,T5c_L,L
183759,T4d,T4d_R,R
183945,T5c,T5c_L,L
184116,T4a,T4a_L,L
184215,T5a,T5a_L,L
184284,T5d,T5d_L,L
184408,T4d,T4d_L,L
184427,T4d,T4d_L,L
184457,T5b,T5b_L,L
184462,T5a,T5a_L,L
184600,T4c,T4c_L,L
184664,T5d,T5d_L,L
184698,T4c,T4c_R,R
